Position,Column Label,Answer Type,Important Text,Question Text,Group Text,Sub Question Text,Answer Text,Question ID,Group #,Sub Question #,Answer #,Report As,Answer Values...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Q540_B,Single-Punch-Item,Individuals who are women are…,"Thinking about specific groups of people, how would you rate the degree to which that group is being included in the good things here in Nashville. We will use a scale of 1-10, where 1 means they are ""far more left out or excluded from the opportunities a",,Individuals who are women are…,,Q540,1,B,,,1 = Far more left out or excluded from the opportunities and benefits1,2 = 2,3 = 3,4 = 4,5 = 5,6 = 6,7 = 7,8 = 8,9 = 9,10 = Far more included in benefits and opportunities10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Q540_C,Single-Punch-Item,Individuals who are White are…,"Thinking about specific groups of people, how would you rate the degree to which that group is being included in the good things here in Nashville. We will use a scale of 1-10, where 1 means they are ""far more left out or excluded from the opportunities a",,Individuals who are White are…,,Q540,1,C,,,1 = Far more left out or excluded from the opportunities and benefits1,2 = 2,3 = 3,4 = 4,5 = 5,6 = 6,7 = 7,8 = 8,9 = 9,10 = Far more included in benefits and opportunities10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Q540_D,Single-Punch-Item,Individuals who are African American/Black are…,"Thinking about specific groups of people, how would you rate the degree to which that group is being included in the good things here in Nashville. We will use a scale of 1-10, where 1 means they are ""far more left out or excluded from the opportunities a",,Individuals who are African American/Black are…,,Q540,1,D,,,1 = Far more left out or excluded from the opportunities and benefits1,2 = 2,3 = 3,4 = 4,5 = 5,6 = 6,7 = 7,8 = 8,9 = 9,10 = Far more included in benefits and opportunities10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Q540_E,Single-Punch-Item,Individuals who are Hispanic/Latin American are…,"Thinking about specific groups of people, how would you rate the degree to which that group is being included in the good things here in Nashville. We will use a scale of 1-10, where 1 means they are ""far more left out or excluded from the opportunities a",,Individuals who are Hispanic/Latin American are…,,Q540,1,E,,,1 = Far more left out or excluded from the opportunities and benefits1,2 = 2,3 = 3,4 = 4,5 = 5,6 = 6,7 = 7,8 = 8,9 = 9,10 = Far more included in benefits and opportunities10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Q540_F,Single-Punch-Item,Individuals who are immigrants are…,"Thinking about specific groups of people, how would you rate the degree to which that group is being included in the good things here in Nashville. We will use a scale of 1-10, where 1 means they are ""far more left out or excluded from the opportunities a",,Individuals who are immigrants are…,,Q540,1,F,,,1 = Far more left out or excluded from the opportunities and benefits1,2 = 2,3 = 3,4 = 4,5 = 5,6 = 6,7 = 7,8 = 8,9 = 9,10 = Far more included in benefits and opportunities10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Q540_G,Single-Punch-Item,Individuals who are adults 65 and older are…,"Thinking about specific groups of people, how would you rate the degree to which that group is being included in the good things here in Nashville. We will use a scale of 1-10, where 1 means they are ""far more left out or excluded from the opportunities a",,Individuals who are adults 65 and older are…,,Q540,1,G,,,1 = Far more left out or excluded from the opportunities and benefits1,2 = 2,3 = 3,4 = 4,5 = 5,6 = 6,7 = 7,8 = 8,9 = 9,10 = Far more included in benefits and opportunities10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Q540_H,Single-Punch-Item,Individuals who are in low-income families are…,"Thinking about specific groups of people, how would you rate the degree to which that group is being included in the good things here in Nashville. We will use a scale of 1-10, where 1 means they are ""far more left out or excluded from the opportunities a",,Individuals who are in low-income families are…,,Q540,1,H,,,1 = Far more left out or excluded from the opportunities and benefits1,2 = 2,3 = 3,4 = 4,5 = 5,6 = 6,7 = 7,8 = 8,9 = 9,10 = Far more included in benefits and opportunities10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Q540_I,Single-Punch-Item,"Individuals who are lesbian, gay, bisexual, transgender, etc. are…","Thinking about specific groups of people, how would you rate the degree to which that group is being included in the good things here in Nashville. We will use a scale of 1-10, where 1 means they are ""far more left out or excluded from the opportunities a",,"Individuals who are lesbian, gay, bisexual, transgender, etc. are…",,Q540,1,I,,,1 = Far more left out or excluded from the opportunities and benefits1,2 = 2,3 = 3,4 = 4,5 = 5,6 = 6,7 = 7,8 = 8,9 = 9,10 = Far more included in benefits and opportunities10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Q600,Single-Punch-Item,Below are various goals for affordable housing in Nashville.  Which do you believe should be the most important affordable housing goal for the people of Nashville?,Below are various goals for affordable housing in Nashville.  Which do you believe should be the most important affordable housing goal for the people of Nashville?,,,,Q600,1,1,,,1 = Eliminate homelessness,2 = Ensure we are building a variety of housing options in all our neighborhoods to reduce housing shortages and lower housing costs,3 = Ensure people can afford to stay in their homes and are not being forced out,4 = Ensure low-cost housing options are equally available to people of all walks of life,"5 = Make sure there is plenty of affordable housing in the communities of Nashville for people who keep the city going (musicians, artists, teachers, firefighters, police officers, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Q605,Single-Punch-Item,Now select the goal you feel is second most important.,Now select the goal you feel is second most important.,,,,Q605,1,1,,,1 = Eliminate homelessness,2 = Ensure we are building a variety of housing options in all our neighborhoods to reduce housing shortages and lower housing costs,3 = Ensure people can afford to stay in their homes and are not being forced out,4 = Ensure low-cost housing options are equally available to people of all walks of life,"5 = Make sure there is plenty of affordable housing in the communities of Nashville for people who keep the city going (musicians, artists, teachers, firefighters, police officers, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Q610_A,Single-Punch-Item,Build more homes to increase the housing supply which will bring down housing prices and help meet demand,"There are different ways to focus on the goals.  Thinking specifically about affordable housing priorities, please rate each of the following where 1 means ""Not at all important to the future of Nashville"" and 10 means ""Extremely important priority for th",,Build more homes to increase the housing supply which will bring down housing prices and help meet demand,,Q610,1,A,,,1 = Not at all important1,2 = 2,3 = 3,4 = 4,5 = 5,6 = 6,7 = 7,8 = 8,9 = 9,10 = Extremely important10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Q610_B,Single-Punch-Item,Provide more buyer/renter assistance and support to get people into housing and help them stay there,"There are different ways to focus on the goals.  Thinking specifically about affordable housing priorities, please rate each of the following where 1 means ""Not at all important to the future of Nashville"" and 10 means ""Extremely important priority for th",,Provide more buyer/renter assistance and support to get people into housing and help them stay there,,Q610,1,B,,,1 = Not at all important1,2 = 2,3 = 3,4 = 4,5 = 5,6 = 6,7 = 7,8 = 8,9 = 9,10 = Extremely important10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Q610_C,Single-Punch-Item,"Build more compact and less expensive housing closer to where people live, work, and play","There are different ways to focus on the goals.  Thinking specifically about affordable housing priorities, please rate each of the following where 1 means ""Not at all important to the future of Nashville"" and 10 means ""Extremely important priority for th",,"Build more compact and less expensive housing closer to where people live, work, and play",,Q610,1,C,,,1 = Not at all important1,2 = 2,3 = 3,4 = 4,5 = 5,6 = 6,7 = 7,8 = 8,9 = 9,10 = Extremely important10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Q610_D,Single-Punch-Item,Create more community partnerships and programs making more housing more affordable for more people,"There are different ways to focus on the goals.  Thinking specifically about affordable housing priorities, please rate each of the following where 1 means ""Not at all important to the future of Nashville"" and 10 means ""Extremely important priority for th",,Create more community partnerships and programs making more housing more affordable for more people,,Q610,1,D,,,1 = Not at all important1,2 = 2,3 = 3,4 = 4,5 = 5,6 = 6,7 = 7,8 = 8,9 = 9,10 = Extremely important10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Q610_E,Single-Punch-Item,Increase affordable housing requirements and incentives for developers to make sure they generate more affordable housing options,"There are different ways to focus on the goals.  Thinking specifically about affordable housing priorities, please rate each of the following where 1 means ""Not at all important to the future of Nashville"" and 10 means ""Extremely important priority for th",,Increase affordable housing requirements and incentives for developers to make sure they generate more affordable housing options,,Q610,1,E,,,1 = Not at all important1,2 = 2,3 = 3,4 = 4,5 = 5,6 = 6,7 = 7,8 = 8,9 = 9,10 = Extremely important10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Q610_STRAIGHTLINER,Single-Punch-Item,Respondent straightlined in Q610,Respondent straightlined in Q610,,,,Q610_STRAIGHTLINER,1,1,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Q620,Single-Punch-Item,"In Nashville, everyone matters and deserves good housing options.  Considering our values as a people and what is important to the future vitality of Nashville, do you believe everyone should be treated the same or do you believe some groups need special ","In Nashville, everyone matters and deserves good housing options.  Considering our values as a people and what is important to the future vitality of Nashville, do you believe everyone should be treated the same or do you believe some groups need special ",,,,Q620,1,1,,,1 = Everyone treated the same,2 = Some groups need special support and assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Q625_A,Multi-Punch-Item,Seniors,"Which groups do you feel most deserve and need special support and assistance to ensure they have good, affordable housing in our neighborhoods?  Please select your top three priority groups.",,,Seniors,Q625,1,1,A,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Q625_B,Multi-Punch-Item,Veterans,"Which groups do you feel most deserve and need special support and assistance to ensure they have good, affordable housing in our neighborhoods?  Please select your top three priority groups.",,,Veterans,Q625,1,1,B,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Q625_C,Multi-Punch-Item,People with disabilities,"Which groups do you feel most deserve and need special support and assistance to ensure they have good, affordable housing in our neighborhoods?  Please select your top three priority groups.",,,People with disabilities,Q625,1,1,C,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Q625_D,Multi-Punch-Item,Musicians and artists,"Which groups do you feel most deserve and need special support and assistance to ensure they have good, affordable housing in our neighborhoods?  Please select your top three priority groups.",,,Musicians and artists,Q625,1,1,D,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Q625_E,Multi-Punch-Item,Low-income individuals and families,"Which groups do you feel most deserve and need special support and assistance to ensure they have good, affordable housing in our neighborhoods?  Please select your top three priority groups.",,,Low-income individuals and families,Q625,1,1,E,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Q625_F,Multi-Punch-Item,New people moving into the region,"Which groups do you feel most deserve and need special support and assistance to ensure they have good, affordable housing in our neighborhoods?  Please select your top three priority groups.",,,New people moving into the region,Q625,1,1,F,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Q625_G,Multi-Punch-Item,Disadvantaged minority or ethnic populations,"Which groups do you feel most deserve and need special support and assistance to ensure they have good, affordable housing in our neighborhoods?  Please select your top three priority groups.",,,Disadvantaged minority or ethnic populations,Q625,1,1,G,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Q625_H,Multi-Punch-Item,"Our critical community workforce (teachers, police, firefighters)","Which groups do you feel most deserve and need special support and assistance to ensure they have good, affordable housing in our neighborhoods?  Please select your top three priority groups.",,,"Our critical community workforce (teachers, police, firefighters)",Q625,1,1,H,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Q630,Single-Punch-Item,"There are various goals for improving transportation in the region.  Based on the current situation, which do you believe should be the most important transportation and mobility goals for the people of Nashville?","There are various goals for improving transportation in the region.  Based on the current situation, which do you believe should be the most important transportation and mobility goals for the people of Nashville?",,,,Q630,1,1,,,1 = Make it easier to get around inside the neighborhoods and communities where people live,2 = Make it easier to get around Nashville—to and from downtown and from one place to another in the region (connecting different parts of the City and Downtown better),3 = Ensure everyone has good access to downtown and the important parts of the region—make transportation options equally accessible to all across Nashville/Davidson Co.,4 = Improve transportation safety and reduce crashes and personal injuries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Q635,Single-Punch-Item,Now select the goal you feel is second most important.,Now select the goal you feel is second most important.,,,,Q635,1,1,,,1 = Make it easier to get around inside the neighborhoods and communities where people live,2 = Make it easier to get around Nashville—to and from downtown and from one place to another in the region (connecting different parts of the City and Downtown better),3 = Ensure everyone has good access to downtown and the important parts of the region—make transportation options equally accessible to all across Nashville/Davidson Co.,4 = Improve transportation safety and reduce crashes and personal injuries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Q640_A,Single-Punch-Item,Reduce traffic congestion,"There are different ways to focus on the goals.  Thinking specifically about transportation issues and priorities, please rate each of the following where 1 means ""Not at all important to the future of Nashville"" and 10 means ""Extremely important priority",,Reduce traffic congestion,,Q640,1,A,,,1 = Not at all important1,2 = 2,3 = 3,4 = 4,5 = 5,6 = 6,7 = 7,8 = 8,9 = 9,10 = Extremely important10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Q640_B,Single-Punch-Item,"Improve and increase public transportation availability and options throughout the city (light rail, bus rapid transit, expanded bus service)","There are different ways to focus on the goals.  Thinking specifically about transportation issues and priorities, please rate each of the following where 1 means ""Not at all important to the future of Nashville"" and 10 means ""Extremely important priority",,"Improve and increase public transportation availability and options throughout the city (light rail, bus rapid transit, expanded bus service)",,Q640,1,B,,,1 = Not at all important1,2 = 2,3 = 3,4 = 4,5 = 5,6 = 6,7 = 7,8 = 8,9 = 9,10 = Extremely important10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Q640_C,Single-Punch-Item,"Improve bicycle and pedestrian connectivity and infrastructure across the city and in the surrounding communities (bikeable streets, sidewalks, greenway and trail networks, etc.)","There are different ways to focus on the goals.  Thinking specifically about transportation issues and priorities, please rate each of the following where 1 means ""Not at all important to the future of Nashville"" and 10 means ""Extremely important priority",,"Improve bicycle and pedestrian connectivity and infrastructure across the city and in the surrounding communities (bikeable streets, sidewalks, greenway and trail networks, etc.)",,Q640,1,C,,,1 = Not at all important1,2 = 2,3 = 3,4 = 4,5 = 5,6 = 6,7 = 7,8 = 8,9 = 9,10 = Extremely important10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
